scenario,mode,buy_hold_%,bot_%,alpha_%,max_dd_%,sharpe,buys,sells,win_rate_%
bull_btc_like,neutral_sentiment,-75.24,0.0,75.24,0.0,0.0,0,0,0.0
bear_btc_like,neutral_sentiment,-66.11,0.0,66.11,0.0,0.0,0,0,0.0
sideways_choppy,neutral_sentiment,7.56,0.0,-7.56,0.0,0.0,0,0,0.0
high_vol_alt,neutral_sentiment,-82.15,0.0,82.15,0.0,0.0,0,0,0.0
bull_btc_like,with_sentiment,-75.24,-19.59,55.65,-45.87,-0.24,14,6,83.3
bear_btc_like,with_sentiment,-66.11,-51.51,14.6,-63.15,-0.84,22,8,62.5
sideways_choppy,with_sentiment,7.56,-34.8,-42.37,-53.99,-0.47,28,9,77.8
high_vol_alt,with_sentiment,-82.15,-46.22,35.93,-74.2,-0.52,14,7,42.9
